Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"04/02/2021","15 BRANOGUE PK, ARDAMINE COURTOWN, WEXFORD","","Wexford","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","15 CLOGHGARRET ABBEY, STATION RD, KILDARE","","Kildare","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","151 ATHLUMNEY CASTLE, NAVAN, MEATH","","Meath","€305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","156 WEDGEWOOD, SANDYFORD, DUBLIN 16","Dublin 16","Dublin","€460,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","16 GLADESVILLE, CASTLEBAR, CO. MAYO","","Mayo","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","16 SHEEPMOOR CRESCENT, BLAKESTOWN, CLONSILLA DUBLIN 15","Dublin 15","Dublin","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","17 CONVENT VIEW, TULLAMORE, OFFALY","","Offaly","€233,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","17 MOUNTJOY SQ, DUBLIN 1","Dublin 1","Dublin","€618,619.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","18 NEWCASTLE WOODS AVE, ENFIELD, MEATH","","Meath","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","18 Seafield, Shanagarry","","Cork","€396,475.76","No","Yes","New Dwelling house /Apartment",""
"04/02/2021","19 BRACKEN VIEW, BRACKEN PARK, CARPENTERSTOWN ROAD  CASTLEKNOCK","Dublin 15","Dublin","€370,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","19 SUPPLE HALL, DUNSHAUGHLIN, MEATH","","Meath","€195,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","2 CARNROCK, BELMULLET, MAYO","","Mayo","€192,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","2 HALLWELL LANE, HALLWELL, ADAMSTOWN","","Dublin","€339,207.05","No","Yes","New Dwelling house /Apartment",""
"04/02/2021","2 NEWCASTLE MANOR PLACE, NEWCASTLE, DUBLIN","Dublin 22","Dublin","€202,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","2 YELLOW NOOK AVE, JOHNSTOWN RD, DUN LAOGHAIRE","","Dublin","€450,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","20 PARNELL PARK, DUNDALK, LOUTH","","Louth","€167,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","203 DUN EOIN BALLINREA RD, CARRIGALINE, CORK","","Cork","€270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","21 ASHE RD, SHANTALLA, GALWAY","","Galway","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","22 Churchlands, Delgany, County Wicklow","","Wicklow","€389,867.84","No","Yes","New Dwelling house /Apartment",""
"04/02/2021","22 MARIAN VILLAS, LAYTOWN, MEATH","","Meath","€188,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","24 ERNE COURT, BELTURBET, CAVAN","","Cavan","€70,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","25 ERNE COURT, BELTURBET, CAVAN","","Cavan","€70,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","25 FOREST RIDGE, WILTON, CORK","","Cork","€295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","250 Maryborough Village, Portlaoise","","Laois","€207,048.00","No","Yes","New Dwelling house /Apartment",""
"04/02/2021","26 LINKS VIEW, LUDDAN, BUNCRANNA","","Donegal","€151,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","26 OLDBRIDGE, OSBERSTOWN, NAAS","","Kildare","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","26 The Avenue, Bay Meadows, Hollystown","Dublin 15","Dublin","€284,140.00","No","Yes","New Dwelling house /Apartment",""
"04/02/2021","27 CASTLE ABBEY, TRIM, MEATH","","Meath","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","27 WOODFORD DOWNS, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","€346,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","28 CATHEDRAL COURT, CLARE ROAD, ENNIS","","Clare","€160,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","29 Meadowbank Road, Swords","","Dublin","€378,854.63","No","Yes","New Dwelling house /Apartment",""
"04/02/2021","29 TERMON RD, BOYLE, ROSCOMMON","","Roscommon","€58,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","2THE PADDOCKS, CROOKSTOWN, BALLYTORE","","Kildare","€249,950.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","2/3 SHELLBOURNE TERRACE, TOMANDGATE, LIMERICK","","Limerick","€22,500.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","3 ALTUS, SUNDAY'S WELL ROAD, CORK","","Cork","€400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","3 BLACKROCK PLACE, EDEN, BLACKROCK","","Cork","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","3 THE LAURELS, TULLOW RD, CARLOW","","Carlow","€107,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","30 Cuil Duin Green, Cuil Duin, Citywest","","Dublin","€370,044.05","No","Yes","New Dwelling house /Apartment",""
"04/02/2021","31 THE COURTYARD, MAELDUIN, DUNSHAUGHLIN","","Meath","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","32 MCGRATH PARK, BLACKROCK, CORK","","Cork","€355,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","33 WOODLEIGH AVE, BLESSINGTON, WICKLOW","","Wicklow","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","34 SHANNON GROVE, CARRICK ON SHANNON, LEITRIM","","Leitrim","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","36 Hillbank, Bellingsfield, Kilcullen Road","","Kildare","€409,692.00","No","Yes","New Dwelling house /Apartment",""
"04/02/2021","36 THE WILLOWS, CLARINWOOD, TRAMORE","","Waterford","€355,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","37 WATERMINT COURT, ROYAL CANAL PARK, DUBLIN 15","Dublin 15","Dublin","€231,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","38 GLASNEVIN HILL, DUBLIN 9, DUBLIN","Dublin 9","Dublin","€875,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","38 HAMPTON WOOD DR, ST MARGARETS, FINGLAS DUBLIN 11","Dublin 11","Dublin","€261,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","39 WATERMINT COURT, PELLETSTOWN AVE, ROYAL CANAL PARK DUBLIN 15","Dublin 15","Dublin","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","4 Effernock Grove, Trim","","Meath","€352,422.00","No","Yes","New Dwelling house /Apartment",""
"04/02/2021","40 CLOCK CHOIRNEAL, BALROTHERY, DUBLIN","","Dublin","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","46 Cill O'Seighin, Ballinrobe","","Mayo","€171,806.00","No","Yes","New Dwelling house /Apartment",""
"04/02/2021","5 SYCAMORE, HAZELDENE, ANGLESEA RD DUBLIN 4","Dublin 4","Dublin","€680,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","54 Summerseat Avenue, Clonee, Co Meath","","Meath","€273,127.75","No","Yes","New Dwelling house /Apartment",""
"04/02/2021","56 THE OAK ROCKFIELD, DUNDRUM DUBLIN 14, DUBLIN","Dublin 14","Dublin","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","58 FANA BURCA, KNOCKNACARRA, GALWAY","","Galway","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","59 THE CEDAR, PARK VIEW, STEPASIDE DUBLIN 18","Dublin 18","Dublin","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","6 CARRIGMORE ELMS, SAGGART, DUBLIN","Dublin 24","Dublin","€266,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","6 MELROSE GROVE, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","64 ASHFIELD GREEN, NORTH RD, DROGHEDA","","Louth","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","65 BARON PARK, CLONMEL, TIPPERARY","","Tipperary","€90,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","7 CASTLEROCK RD, CASTLECONNELL, LIMERICK","","Limerick","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","7 CURRAHEEN, ST NESSANS RD, RAHEEN","","Limerick","€170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","7 MAPLE WOOD, CASTLEPARK, MALLOW","","Cork","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","7 OAK DR, CLASSIS LAKE, OVENS","","Cork","€101,200.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","7 SKEFFINGTON ST, WEXFORD","","Wexford","€62,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","71 Cedarview, Northwood, Santry Demesne","Dublin 9","Dublin","€484,581.00","No","Yes","New Dwelling house /Apartment",""
"04/02/2021","71 Willow Drive, The Willows, Dunshaughlin","","Meath","€284,581.00","No","Yes","New Dwelling house /Apartment",""
"04/02/2021","74 NORTH STRAND ROAD, FAIRVIEW, DUBLIN 3","","Dublin","€274,681.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","75 MONASTERY WALK, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","€427,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","76 CORBALLIS DEMESNE, RATOATH, CO MEATH","","Meath","€207,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","77 CLONMINCH WOOD, TULLAMORE, OFFALY","","Offaly","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","8 HARVEY HOUSE, STEAMBOAT QUAY, LIMERICK","","Limerick","€105,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","8 PARK RISE, PHELIM WOOD, TULLOW","","Carlow","€115,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","8 ST JOSEPHS COTTAGE, BLACKHORSE AVE, DUBLIN","Dublin 7","Dublin","€600,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","82 CARRAIG MIDHE, CORBALLY, CLARE","","Clare","€201,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","85 LANDSCAPE PARK, CHURCHTOWN, DUBLIN 14","Dublin 14","Dublin","€577,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","86 Blossom Hill, Broomfield Village, Midleton","","Cork","€448,458.15","No","Yes","New Dwelling house /Apartment",""
"04/02/2021","86 HAZELGROVE, BLESSINGTON RD, TALLAGHT DUBLIN 24","Dublin 24","Dublin","€270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","9 CHURCH VIEW, LITTLETON, THURLES","","Tipperary","€88,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","9 Coppenger Fields, White's Cross, Cork","","Cork","€381,199.00","No","Yes","New Dwelling house /Apartment",""
"04/02/2021","9 CREAGH WOODS, GOREY, WEXFORD","","Wexford","€87,500.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","9 RIVER BONNET APARTMENTS, DROMAHAIR, LEITRIM","","Leitrim","€55,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","9 THE MEADOWS, WEST VILLAGE, BALLINCOLLIG","","Cork","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","96 OXMANTOWN RD, STONEYBATTER, DUBLIN 7","Dublin 7","Dublin","€397,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","APT 105, VIKING HARBOUR APTS, USHERS QUAY DUBLIN 8","Dublin 8","Dublin","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","APT 1, 111 NORTH STRAND ROAD, NORTH STRAND","","Dublin","€588,556.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","APT 4, TIME SQ, BALLINCOLLIG","","Cork","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","BALLYDUGAN, LOUGHREA, GALWAY","","Galway","€125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","BALLYEIGHAN LODGE, ROSCREA ROAD, BIRR","","Offaly","€270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","BALLYRUNE, KILDIMO, LIMERICK","","Limerick","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","BARANARIG, KNOCKNAGOSHEL, CO KERRY","","Kerry","€82,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","BLACKROCK, MALLOW, CORK","","Cork","€30,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","C29 CAHERMORE, ENNISCRONE, CO SLIGO","","Sligo","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","CARHULIGNE, MULLAGH, CLARE","","Clare","€107,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","CARTRONROE, TUAM, CO. GALWAY","","Galway","€30,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","CAULSTOWN, DUNBOYNE, MEATH","","Meath","€540,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","CAVAN, DRUMKEERIN, LEITRIM","","Leitrim","€44,730.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","CHAPEL STREET, CLONASLEE, CO LAOIS","","Laois","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","CLOCK AN IARLA, KILMARTIN, DONOUGHMORE","","Cork","€335,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","CLOGHNA, KILKENNY RD, CARLOW","","Carlow","€385,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","CLOONAVINDIN, CASTLEREA, COUNTY ROSCOMMON","","Roscommon","€110,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","DEERPARK, VIRGINIA, CAVAN","","Cavan","€315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","DHARAMSALA, KILLINEY RD, KILLINEY","","Dublin","€905,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","DROGHEDA RD, TENURE, LOUTH","","Louth","€305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","DUN ROMAN, BALLYREGAN LANE, CRAANFORD","","Wexford","€258,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","EAGLEHILL, HACKETSTOWN, CO. CARLOW","","Carlow","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","GLENOUGH, ROSSMORE, CASHEL","","Tipperary","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","GOATINSTOWN, BALLYKISTEEN, TIPPERARY","","Tipperary","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","GORTBAWN, AYLE, WESTPORT","","Mayo","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","GORTMORE, LOMBARDSTOWN, MALLOW","","Cork","€115,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","GUBAVEENEY, BLACKLION, COUNTY CAVAN","","Cavan","€28,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","KILLEAGH RD CASTLEMARTYR, CASTLEMARTYR, CORK","","Cork","€65,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","LABURNUM COTTAGE, KIL ST ANNE, CASTLELYONS","","Cork","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","Mixed use development, at Swiss Cottage, Santry","","Dublin","€38,094,573.37","No","Yes","New Dwelling house /Apartment",""
"04/02/2021","NO. 1 ST. MOCHTAS GROVE, COOLMINE ROAD, CLONSILLA","","Dublin","€370,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","OLD RD, BELLURGAN, DUNDALK","","Louth","€146,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","PATCH, DUAGH, LISTOWEL","","Kerry","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","RATHBAUN LODGE, KINCORA ROAD, LISDOONVARNA","","Clare","€50,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","ROXBORO, ROSCOMMON, CO. ROSCOMMON","","Roscommon","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","SPOTFIELD, BEKAN, CLAREMORRIS","","Mayo","€178,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","SPURTOWN, KILLAVIL, BALLYMOTE","","Sligo","€123,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","STILL POINT, COURT MACSHERRY, BANDON","","Cork","€122,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","THE HILL, ABBEYFEALE, LIMERICK","","Limerick","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","THE KOPPIE, SNEEM, ANKAIL","","Kerry","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","THE OLD RECTORY, GORTROE, CASTLE TOWN CONYERS","","Limerick","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","THE SCALP SERVICE STATION, APARTMENTS ENNISKERRY ROAD, KILTERNAN","","Dublin","€226,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","TOORAK, BLACKROCK RD, CORK","","Cork","€1,200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2021","TOUREENISSALANE, DRINAGH ROAD, SKIBBEREEN","","Cork","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","1 CASTLE PARK COTTAGES, MARKET YARD, BALLYSHANNON","","Donegal","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","1 GLENINA, GORT RD, ENNIS","","Clare","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","1 SPA TERRACE, MALLOW, CORK","","Cork","€92,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","10  Parklands Boulevard, Parklands, Citywest","","Dublin","€339,207.05","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","10 BARR AILLE TUAM RD, GALWAY","","Galway","€475,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","10 CUNNINGHAM PARK, FOXROCK, DUBLIN 18","Dublin 18","Dublin","€525,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","10 KILBRIDE RD, KILLESTER, DUBLIN 5","Dublin 5","Dublin","€605,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","10 THE BIRCHES, LOUGH NA GLACK, CARRICKMACROSS","","Monaghan","€101,321.59","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","100 ROCKFIELD AVE, PERRYSTOWN, DUBLIN","Dublin 12","Dublin","€545,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","104 HAZELBURY GREEN, CLONEE, DUBLIN","Dublin 15","Dublin","€317,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","11 ASHBROOKE MANOR, MOYNEHALL, CAVAN","","Cavan","€228,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","11 GORT AOIBHINN, LIS CARA, CARRICK ON SHANNON","","Leitrim","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","117 CAISLEAN NA HABHANN, CASTLETROY, LIMERICK","","Limerick","€299,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","117 CLOCHOG, ORANMORE, GALWAY","","Galway","€283,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","12 Cluain Adain Rise, Clonmagadden, Navan","","Meath","€229,074.00","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","12 ORMOND VIEW, SWORDS MANOR, SWORDS","Dublin 3","Dublin","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","12 THE ELMS, LOUGH NA GLACK, CARRICKMACROSS","","Monaghan","€127,753.30","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","13 MARLMOUNT GARDENS, MARLMOUNT, DUBLIN RD","","Louth","€281,938.32","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","13 Oileain Na Cranoige.Cranogue Isl, Balbutcher Lane, Ballymun","Dublin 11","Dublin","€201,762.00","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","13 PEMBROKE COTTAGES, RINGSEND, DUBLIN 3","Dublin 4","Dublin","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","13 The Crescent, Cluain Dara, Derrinturn","","Kildare","€269,653.71","Yes","Yes","New Dwelling house /Apartment",""
"05/02/2021","13 THE ELMS, LOUGH NA GLACK, CARRICKMACROSS","","Monaghan","€101,321.59","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","13 WOODBROOK AVE, BISHOPSTOWN, CORK","","Cork","€270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","13A Walkinstown Drive, Dublin 12","","Donegal","€408,810.57","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","14 DROMSALLY WOODS, CAPPAMORE, LIMERICK","","Limerick","€70,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","14 MARTELLO TERRACE, BALBRIGGAN, DUBLIN","","Dublin","€178,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","14 THE ELMS, LOUGH NA GLACK, CARRICKMACROSS","","Monaghan","€101,321.59","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","14 The Hawthorn, Manor Brook, Adare","","Limerick","€439,647.58","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","14 Waterside Close, Waterside, Swords Road","","Dublin","€250,000.00","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","14 WENTWORTH PLACE, JIGGINSTOWN, NAAS","","Kildare","€192,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","141 HEATHER WALK, PORTMARNOCK, DUBLIN","Dublin 13","Dublin","€610,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","143 Ardglass, Baltinglass","","Wicklow","€228,634.36","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","144 GRACE PARK RD, DRUMCONDRA, DUBLIN 9","Dublin 9","Dublin","€800,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","148 BLOCK 1, ELM PARK, MERRION RD DUBLIN 4","Dublin 4","Dublin","€400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","15 BEECHVIEW, CHURCHFIELD, CASTLEMAGNER","","Cork","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","15 CHESTNUT GROVE, CHURCH ST, KILCOCK","","Kildare","€249,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","15 Donnybrook Gardens, Donnybrook, Dublin 4","","Dublin","€1,145,374.44","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","15 DUNLIN ST, ASTON VILLAGE, DROGHEDA","","Louth","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","15 ST LAURENCES PARK, STILLORGAN, DUBLIN","","Dublin","€590,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","16 CASTLEGRANGE PARK, CASTAHEANY, DUBLIN 15","Dublin 15","Dublin","€312,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","16 Cearnog Chiarain, Sli Na Manach, Mungret","","Limerick","€290,748.89","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","16 CLUAIN ARD, FEDAMORE, LIMERICK","","Limerick","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","16 HERBERT RD, BLANCHARDSTOWN, DUBLIN 15","Dublin 15","Dublin","€325,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","16 SEABURY WOOD, MALAHIDE, CO DUBLIN","","Dublin","€510,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","16 THE OLDE DOCK, LITTLE SHIP ST, DUBLIN 8","Dublin 8","Dublin","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","16 THE PINES, SEA ROAD, ARKLOW","","Wicklow","€275,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","161 WINDMILL RD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","€264,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","163 KILNAP PLACE, FARRANREE, CORK","","Cork","€170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","163 THE RECTORY, ENNISKERRY RD, STEPASIDE DUBLIN 18","Dublin 18","Dublin","€532,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","17 ROSKEEN, RIVERS, ANNACOTTY","","Limerick","€450,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","17 TARA COURT, BALBRIGAN, DUBLIN","","Dublin","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","17 Temple Mills, Rathangan","","Kildare","€211,409.00","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","17 THE ELMS, LOUGH NA GLACK, CARRICKMACROSS","","Monaghan","€127,753.30","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","172 SHANNONVALE, OLD CRATLOE RD, LIMERICK","","Limerick","€214,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","176 CRODAUN FOREST PARK, CELBRIDGE, KILDARE","","Kildare","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","18 CHESTNUT AVE, PAIRC NA GCAPALL, KILWORTH","","Cork","€199,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","18 KILCROSS GROVE, SANDYFORD, DUBLIN","Dublin 18","Dublin","€324,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","18 MOUNT ANDREW COURT, LUCAN, CO DUBLIN","","Dublin","€232,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2021","18 Parklands Place, Parklands, Citywest","Dublin 14","Dublin","€356,828.00","No","Yes","New Dwelling house /Apartment",""
"05/02/2021","18 RIVERSIDE, BLACKWATER, ENNISCORTHY","","Wexford","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
